date UTC,lat,lon,prof,mag,location
2022-03-31 12:00:00,38.692,-28.165,13,2.1,Ilha de S. Jorge (W)
2022-03-31 10:57:00,38.555,-27.975,16,2.1,Canal de S. Jorge
2022-03-31 08:48:00,38.69,-28.169,8,2.1,Ilha de S. Jorge (W)
2022-03-31 00:46:00,38.693,-28.204,5,2.1,Ilha de S. Jorge (W)
2022-03-30 23:31:00,38.731,-28.298,6,3.6,Ilha de S. Jorge (W)
2022-03-30 15:39:00,38.694,-28.192,9,2.4,Ilha de S. Jorge (W)
2022-03-30 15:36:00,38.684,-28.186,7,2.0,Ilha de S. Jorge (W)
2022-03-30 14:21:00,38.692,-28.175,7,2.0,Ilha de S. Jorge (W)
2022-03-30 13:46:00,38.747,-28.309,5,2.5,Ilha de S. Jorge (W)
2022-03-30 12:56:00,38.703,-28.204,12,2.3,Ilha de S. Jorge (W)
2022-03-30 10:08:00,38.748,-28.309,5,2.1,Ilha de S. Jorge (W)
2022-03-30 08:57:00,38.691,-28.19,8,2.1,Ilha de S. Jorge (W)
2022-03-30 06:57:00,38.682,-28.171,8,2.1,Ilha de S. Jorge (W)
2022-03-30 05:39:00,38.697,-28.199,10,2.2,Ilha de S. Jorge (W)
2022-03-30 04:42:00,38.692,-28.178,10,2.0,Ilha de S. Jorge (W)
2022-03-30 04:02:00,38.695,-28.214,12,2.1,Ilha de S. Jorge (W)
2022-03-30 03:10:00,38.7,-28.196,10,2.2,Ilha de S. Jorge (W)
2022-03-30 00:18:00,38.69,-28.2,11,2.0,Ilha de S. Jorge (W)
2022-03-29 21:56:00,38.686,-28.215,10,4.0,Ilha de S. Jorge (W)
2022-03-29 19:35:00,38.696,-28.205,12,2.2,Ilha de S. Jorge (W)
2022-03-29 19:30:00,38.682,-28.179,9,2.2,Ilha de S. Jorge (W)
2022-03-29 19:29:00,38.693,-28.166,8,2.1,Ilha de S. Jorge (W)
2022-03-29 19:20:00,38.689,-28.195,11,2.5,Ilha de S. Jorge (W)
2022-03-29 19:18:00,38.692,-28.216,7,2.0,Ilha de S. Jorge (W)
2022-03-29 18:47:00,38.679,-28.203,11,2.5,Ilha de S. Jorge (W)
2022-03-29 15:14:00,38.696,-28.205,11,2.1,Ilha de S. Jorge (W)
2022-03-29 15:04:00,38.7,-28.197,10,2.4,Ilha de S. Jorge (W)
2022-03-29 13:34:00,38.706,-28.224,12,2.1,Ilha de S. Jorge (W)
2022-03-29 10:27:00,38.704,-28.149,13,2.0,Ilha de S. Jorge (W)
2022-03-29 10:21:00,38.694,-28.187,10,2.0,Ilha de S. Jorge (W)
2022-03-29 06:31:00,38.693,-28.2,12,2.2,Ilha de S. Jorge (W)
2022-03-29 04:13:00,38.702,-28.209,12,2.0,Ilha de S. Jorge (W)
2022-03-29 03:46:00,38.745,-28.304,5,2.0,Ilha de S. Jorge (W)
2022-03-29 03:19:00,38.688,-28.231,13,2.0,Ilha de S. Jorge (W)
2022-03-28 22:34:00,38.694,-28.2,12,2.4,Ilha de S. Jorge (W)
2022-03-28 20:46:00,38.703,-28.212,7,2.0,Ilha de S. Jorge (W)
2022-03-28 19:52:00,38.683,-28.132,10,2.1,Ilha de S. Jorge (W)
2022-03-28 16:37:00,38.684,-28.175,9,2.0,Ilha de S. Jorge (W)
2022-03-28 15:24:00,38.69,-28.166,13,2.0,Ilha de S. Jorge (W)
2022-03-28 15:22:00,38.687,-28.177,14,2.0,Ilha de S. Jorge (W)
2022-03-28 10:28:00,38.707,-28.217,6,2.2,Ilha de S. Jorge (W)
2022-03-28 09:05:00,38.691,-28.19,10,2.0,Ilha de S. Jorge (W)
2022-03-28 08:57:00,38.696,-28.236,11,3.0,Ilha de S. Jorge (W)
2022-03-28 08:56:00,38.689,-28.226,11,2.5,Ilha de S. Jorge (W)
2022-03-28 07:38:00,38.679,-28.134,10,2.4,Ilha de S. Jorge (W)
2022-03-28 07:32:00,38.697,-28.174,12,2.1,Ilha de S. Jorge (W)
2022-03-28 07:31:00,38.683,-28.127,12,2.0,Ilha de S. Jorge (W)
2022-03-28 07:26:00,38.69,-28.166,12,2.0,Ilha de S. Jorge (W)
2022-03-28 04:20:00,38.697,-28.193,12,2.0,Ilha de S. Jorge (W)
2022-03-28 03:14:00,38.679,-28.125,12,2.2,Ilha de S. Jorge (W)
2022-03-28 02:51:00,38.699,-28.181,10,2.3,Ilha de S. Jorge (W)
2022-03-28 01:45:00,38.689,-28.167,9,2.1,Ilha de S. Jorge (W)
2022-03-28 01:32:00,38.646,-28.062,27,2.1,Ilha de S. Jorge (W)
2022-03-28 00:23:00,38.693,-28.207,12,2.0,Ilha de S. Jorge (W)
2022-03-27 23:25:00,38.694,-28.187,12,2.2,Ilha de S. Jorge (W)
2022-03-27 23:20:00,38.684,-28.167,13,2.0,Ilha de S. Jorge (W)
2022-03-27 23:16:00,38.691,-28.174,13,2.0,Ilha de S. Jorge (W)
2022-03-27 23:02:00,38.695,-28.185,12,2.2,Ilha de S. Jorge (W)
2022-03-27 22:43:00,38.696,-28.162,13,2.2,Ilha de S. Jorge (W)
2022-03-27 22:24:00,38.698,-28.189,12,2.2,Ilha de S. Jorge (W)
2022-03-27 19:36:00,38.7,-28.155,14,2.4,Ilha de S. Jorge (W)
2022-03-27 19:02:00,38.674,-28.138,9,2.3,Ilha de S. Jorge (W)
2022-03-27 16:42:00,38.692,-28.191,9,2.5,Ilha de S. Jorge (W)
2022-03-27 16:42:00,38.692,-28.191,9,2.5,Ilha de S. Jorge (W)
2022-03-27 15:23:00,38.693,-28.182,11,2.0,Ilha de S. Jorge (W)
2022-03-27 14:53:00,38.686,-28.135,11,2.3,Ilha de S. Jorge (W)
2022-03-27 14:24:00,38.689,-28.174,12,2.2,Ilha de S. Jorge (W)
2022-03-27 13:53:00,38.684,-28.131,8,2.7,Ilha de S. Jorge (W)
2022-03-27 11:55:00,38.683,-28.13,9,2.1,Ilha de S. Jorge (W)
2022-03-27 11:34:00,38.691,-28.193,12,2.8,Ilha de S. Jorge (W)
2022-03-27 10:35:00,38.685,-28.137,12,2.1,Ilha de S. Jorge (W)
2022-03-27 09:47:00,38.678,-28.141,11,2.0,Ilha de S. Jorge (W)
2022-03-27 09:18:00,38.701,-28.14,7,2.0,Ilha de S. Jorge (W)
2022-03-27 09:16:00,38.693,-28.179,12,2.0,Ilha de S. Jorge (W)
2022-03-27 08:16:00,38.691,-28.17,13,2.4,Ilha de S. Jorge (W)
2022-03-27 08:14:00,38.702,-28.184,11,2.4,Ilha de S. Jorge (W)
2022-03-27 07:57:00,38.682,-28.136,11,2.0,Ilha de S. Jorge (W)
2022-03-27 06:50:00,38.697,-28.185,10,2.2,Ilha de S. Jorge (W)
2022-03-27 04:46:00,38.7,-28.182,12,2.1,Ilha de S. Jorge (W)
2022-03-27 04:25:00,38.707,-28.217,12,2.1,Ilha de S. Jorge (W)
2022-03-27 03:41:00,38.703,-28.198,11,2.5,Ilha de S. Jorge (W)
2022-03-27 03:37:00,38.699,-28.192,11,2.5,Ilha de S. Jorge (W)
2022-03-27 03:17:00,38.689,-28.162,7,2.0,Ilha de S. Jorge (W)
2022-03-27 01:46:00,38.701,-28.192,13,2.5,Ilha de S. Jorge (W)
2022-03-27 01:42:00,38.694,-28.201,7,2.7,Ilha de S. Jorge (W)
2022-03-27 01:09:00,38.709,-28.175,10,2.0,Ilha de S. Jorge (W)
2022-03-27 01:02:00,38.693,-28.165,8,2.0,Ilha de S. Jorge (W)
2022-03-27 00:40:00,38.694,-28.178,13,2.1,Ilha de S. Jorge (W)
2022-03-26 23:57:00,38.696,-28.212,12,2.4,Ilha de S. Jorge (W)
2022-03-26 23:07:00,38.687,-28.153,8,2.6,Ilha de S. Jorge (W)
2022-03-26 21:41:00,38.684,-28.13,9,2.0,Ilha de S. Jorge (W)
2022-03-26 21:11:00,38.686,-28.206,11,2.0,Ilha de S. Jorge (W)
2022-03-26 20:47:00,38.699,-28.191,13,2.1,Ilha de S. Jorge (W)
2022-03-26 20:20:00,38.682,-28.149,9,2.0,Ilha de S. Jorge (W)
2022-03-26 20:19:00,38.68,-28.134,10,2.2,Ilha de S. Jorge (W)
2022-03-26 19:02:00,38.692,-28.18,9,2.0,Ilha de S. Jorge (W)
2022-03-26 18:12:00,38.699,-28.188,12,2.6,Ilha de S. Jorge (W)
2022-03-26 17:46:00,38.686,-28.185,10,2.0,Ilha de S. Jorge (W)
2022-03-26 17:35:00,38.684,-28.196,10,2.2,Ilha de S. Jorge (W)
2022-03-26 16:15:00,38.676,-28.21,12,2.4,Ilha de S. Jorge (W)
2022-03-26 16:07:00,38.679,-28.128,11,2.2,Ilha de S. Jorge (W)
2022-03-26 14:34:00,38.683,-28.126,11,2.3,Ilha de S. Jorge (W)
2022-03-26 14:28:00,38.685,-28.177,12,2.1,Ilha de S. Jorge (W)
2022-03-26 14:09:00,38.68,-28.129,10,2.7,Ilha de S. Jorge (W)
2022-03-26 13:59:00,38.692,-28.182,12,2.0,Ilha de S. Jorge (W)
2022-03-26 13:25:00,38.68,-28.135,11,2.4,Ilha de S. Jorge (W)
2022-03-26 12:55:00,38.692,-28.164,12,2.4,Ilha de S. Jorge (W)
2022-03-26 12:33:00,38.681,-28.175,11,2.5,Ilha de S. Jorge (W)
2022-03-26 12:15:00,38.681,-28.139,11,2.7,Ilha de S. Jorge (W)
2022-03-26 11:37:00,38.677,-28.122,7,2.2,Ilha de S. Jorge (W)
2022-03-26 10:17:00,38.695,-28.188,10,2.0,Ilha de S. Jorge (W)
2022-03-26 10:03:00,38.7,-28.201,12,2.0,Ilha de S. Jorge (W)
2022-03-26 08:10:00,38.69,-28.193,12,2.0,Ilha de S. Jorge (W)
2022-03-26 08:10:00,38.708,-28.194,13,2.2,Ilha de S. Jorge (W)
2022-03-26 07:46:00,38.693,-28.19,12,2.2,Ilha de S. Jorge (W)
2022-03-26 07:27:00,38.682,-28.115,6,2.0,Ilha de S. Jorge (W)
2022-03-26 07:15:00,38.701,-28.213,8,2.4,Ilha de S. Jorge (W)
2022-03-26 07:09:00,38.69,-28.189,13,2.2,Ilha de S. Jorge (W)
2022-03-26 06:16:00,38.696,-28.197,12,2.0,Ilha de S. Jorge (W)
2022-03-26 05:45:00,38.691,-28.173,13,2.0,Ilha de S. Jorge (W)
2022-03-26 05:26:00,38.705,-28.176,11,2.2,Ilha de S. Jorge (W)
2022-03-26 05:08:00,38.698,-28.207,13,2.1,Ilha de S. Jorge (W)
2022-03-26 05:07:00,38.703,-28.206,8,2.3,Ilha de S. Jorge (W)
2022-03-26 04:54:00,38.707,-28.208,12,2.1,Ilha de S. Jorge (W)
2022-03-26 04:45:00,38.719,-28.163,5,2.2,N Ilha S. Jorge (W)
2022-03-26 04:29:00,38.694,-28.195,12,2.1,Ilha de S. Jorge (W)
2022-03-26 04:22:00,38.7,-28.206,13,2.5,Ilha de S. Jorge (W)
2022-03-26 03:27:00,38.681,-28.128,11,2.2,Ilha de S. Jorge (W)
2022-03-26 03:14:00,38.705,-28.182,7,2.1,Ilha de S. Jorge (W)
2022-03-26 03:11:00,38.698,-28.168,7,2.1,Ilha de S. Jorge (W)
2022-03-26 02:08:00,38.71,-28.26,13,2.0,Ilha de S. Jorge (W)
2022-03-26 01:35:00,38.694,-28.166,13,2.1,Ilha de S. Jorge (W)
2022-03-26 00:26:00,38.696,-28.203,11,2.4,Ilha de S. Jorge (W)
2022-03-26 00:08:00,38.694,-28.166,13,2.1,Ilha de S. Jorge (W)
2022-03-25 23:12:00,38.702,-28.196,11,2.4,Ilha de S. Jorge (W)
2022-03-25 22:37:00,38.7,-28.197,13,2.0,Ilha de S. Jorge (W)
2022-03-25 22:29:00,38.706,-28.23,12,2.0,Ilha de S. Jorge (W)
2022-03-25 21:33:00,38.707,-28.202,12,2.0,Ilha de S. Jorge (W)
2022-03-25 20:36:00,38.681,-28.13,10,2.0,Ilha de S. Jorge (W)
2022-03-25 20:10:00,38.693,-28.208,11,3.0,Ilha de S. Jorge (W)
2022-03-25 19:50:00,38.692,-28.185,10,2.2,Ilha de S. Jorge (W)
2022-03-25 19:01:00,38.696,-28.157,13,2.0,Ilha de S. Jorge (W)
2022-03-25 18:48:00,38.696,-28.166,13,2.4,Ilha de S. Jorge (W)
2022-03-25 18:30:00,38.688,-28.189,11,2.0,Ilha de S. Jorge (W)
2022-03-25 18:07:00,38.681,-28.152,11,2.7,Ilha de S. Jorge (W)
2022-03-25 17:43:00,38.691,-28.19,11,2.5,Ilha de S. Jorge (W)
2022-03-25 17:23:00,38.699,-28.191,12,2.8,Ilha de S. Jorge (W)
2022-03-25 17:16:00,38.703,-28.241,17,2.8,Ilha de S. Jorge (W)
2022-03-25 16:49:00,38.692,-28.187,11,2.1,Ilha de S. Jorge (W)
2022-03-25 16:23:00,38.699,-28.189,12,2.7,Ilha de S. Jorge (W)
2022-03-25 16:20:00,38.703,-28.188,11,2.8,Ilha de S. Jorge (W)
2022-03-25 15:08:00,38.669,-28.151,12,2.0,Ilha de S. Jorge (W)
2022-03-25 15:08:00,38.676,-28.135,11,2.0,Ilha de S. Jorge (W)
2022-03-25 15:06:00,38.686,-28.141,8,2.1,Ilha de S. Jorge (W)
2022-03-25 14:35:00,38.7,-28.186,11,2.1,Ilha de S. Jorge (W)
2022-03-25 13:17:00,38.674,-28.182,7,2.1,Ilha de S. Jorge (W)
2022-03-25 12:58:00,38.69,-28.199,7,2.0,Ilha de S. Jorge (W)
2022-03-25 12:55:00,38.7,-28.19,11,2.3,Ilha de S. Jorge (W)
2022-03-25 12:39:00,38.679,-28.135,9,2.0,Ilha de S. Jorge (W)
2022-03-25 12:37:00,38.679,-28.122,9,2.2,Ilha de S. Jorge (W)
2022-03-25 12:11:00,38.69,-28.233,13,2.2,Ilha de S. Jorge (W)
2022-03-25 12:09:00,38.703,-28.152,14,2.0,Ilha de S. Jorge (W)
2022-03-25 11:46:00,38.694,-28.191,12,2.4,Ilha de S. Jorge (W)
2022-03-25 11:25:00,38.703,-28.207,10,2.1,Ilha de S. Jorge (W)
2022-03-25 11:18:00,38.693,-28.184,7,2.1,Ilha de S. Jorge (W)
2022-03-25 11:18:00,38.701,-28.181,10,2.2,Ilha de S. Jorge (W)
2022-03-25 10:24:00,38.695,-28.169,12,2.1,Ilha de S. Jorge (W)
2022-03-25 09:53:00,38.713,-28.248,13,2.3,Ilha de S. Jorge (W)
2022-03-25 09:36:00,38.697,-28.182,12,2.3,Ilha de S. Jorge (W)
2022-03-25 09:23:00,38.689,-28.135,10,2.2,Ilha de S. Jorge (W)
2022-03-25 09:10:00,38.694,-28.204,10,3.1,Ilha de S. Jorge (W)
2022-03-25 09:00:00,38.698,-28.184,11,2.1,Ilha de S. Jorge (W)
2022-03-25 08:58:00,38.685,-28.186,10,2.0,Ilha de S. Jorge (W)
2022-03-25 08:01:00,38.687,-28.186,10,2.1,Ilha de S. Jorge (W)
2022-03-25 07:10:00,38.692,-28.197,9,2.5,Ilha de S. Jorge (W)
2022-03-25 07:07:00,38.684,-28.143,12,2.3,Ilha de S. Jorge (W)
2022-03-25 06:17:00,38.69,-28.183,11,2.1,Ilha de S. Jorge (W)
2022-03-25 06:08:00,38.709,-28.194,14,2.0,Ilha de S. Jorge (W)
2022-03-25 05:41:00,38.691,-28.176,12,2.6,Ilha de S. Jorge (W)
2022-03-25 04:43:00,38.673,-28.143,14,2.1,Ilha de S. Jorge (W)
2022-03-25 03:57:00,38.686,-28.163,11,2.1,Ilha de S. Jorge (W)
2022-03-25 03:48:00,38.698,-28.199,12,2.1,Ilha de S. Jorge (W)
2022-03-25 03:11:00,38.679,-28.137,10,2.1,Ilha de S. Jorge (W)
2022-03-25 03:02:00,38.681,-28.125,11,2.3,Ilha de S. Jorge (W)
2022-03-25 02:58:00,38.682,-28.141,11,2.5,Ilha de S. Jorge (W)
2022-03-25 02:52:00,38.691,-28.185,11,2.3,Ilha de S. Jorge (W)
2022-03-25 02:46:00,38.678,-28.19,9,2.1,Ilha de S. Jorge (W)
2022-03-25 02:26:00,38.695,-28.2,12,2.0,Ilha de S. Jorge (W)
2022-03-25 01:37:00,38.683,-28.136,9,2.2,Ilha de S. Jorge (W)
2022-03-25 01:14:00,38.684,-28.207,14,2.0,Ilha de S. Jorge (W)
2022-03-25 00:39:00,38.682,-28.123,11,2.1,Ilha de S. Jorge (W)
2022-03-25 00:33:00,38.691,-28.193,12,2.2,Ilha de S. Jorge (W)
2022-03-25 00:27:00,38.685,-28.185,11,2.3,Ilha de S. Jorge (W)
2022-03-25 00:15:00,38.69,-28.197,11,2.0,Ilha de S. Jorge (W)
2022-03-25 00:10:00,38.694,-28.189,11,2.3,Ilha de S. Jorge (W)
2022-03-24 23:37:00,38.695,-28.19,12,2.2,Ilha de S. Jorge (W)
2022-03-24 23:29:00,38.689,-28.174,12,2.1,Ilha de S. Jorge (W)
2022-03-24 23:16:00,38.7,-28.202,11,2.0,Ilha de S. Jorge (W)
2022-03-24 23:10:00,38.68,-28.135,11,2.3,Ilha de S. Jorge (W)
2022-03-24 22:50:00,38.682,-28.139,9,2.0,Ilha de S. Jorge (W)
2022-03-24 22:38:00,38.694,-28.19,12,2.0,Ilha de S. Jorge (W)
2022-03-24 22:10:00,38.685,-28.205,9,2.5,Ilha de S. Jorge (W)
2022-03-24 22:01:00,38.683,-28.137,11,2.0,Ilha de S. Jorge (W)
2022-03-24 21:40:00,38.698,-28.205,7,2.7,Ilha de S. Jorge (W)
2022-03-24 21:35:00,38.688,-28.183,11,2.0,Ilha de S. Jorge (W)
2022-03-24 20:56:00,38.693,-28.176,12,2.3,Ilha de S. Jorge (W)
2022-03-24 19:02:00,38.694,-28.181,7,2.0,Ilha de S. Jorge (W)
2022-03-24 18:52:00,38.682,-28.138,12,2.1,Ilha de S. Jorge (W)
2022-03-24 18:07:00,38.691,-28.18,13,2.1,Ilha de S. Jorge (W)
2022-03-24 17:39:00,38.683,-28.127,12,2.5,Ilha de S. Jorge (W)
2022-03-24 16:48:00,38.695,-28.185,12,2.0,Ilha de S. Jorge (W)
2022-03-24 16:47:00,38.7,-28.16,5,2.2,Ilha de S. Jorge (W)
2022-03-24 15:25:00,38.683,-28.127,10,2.2,Ilha de S. Jorge (W)
2022-03-24 15:20:00,38.692,-28.179,12,2.1,Ilha de S. Jorge (W)
2022-03-24 15:17:00,38.671,-28.126,10,2.0,Ilha de S. Jorge (W)
2022-03-24 14:24:00,38.68,-28.13,10,2.4,Ilha de S. Jorge (W)
2022-03-24 14:19:00,38.684,-28.135,10,2.3,Ilha de S. Jorge (W)
2022-03-24 14:13:00,38.693,-28.21,10,2.2,Ilha de S. Jorge (W)
2022-03-24 14:08:00,38.684,-28.132,8,2.1,Ilha de S. Jorge (W)
2022-03-24 13:47:00,38.677,-28.116,12,2.0,Ilha de S. Jorge (W)
2022-03-24 13:29:00,38.678,-28.121,11,2.1,Ilha de S. Jorge (W)
2022-03-24 13:25:00,38.704,-28.218,6,2.7,Ilha de S. Jorge (W)
2022-03-24 12:08:00,38.694,-28.169,12,2.5,Ilha de S. Jorge (W)
2022-03-24 11:32:00,38.695,-28.179,13,2.0,Ilha de S. Jorge (W)
2022-03-24 08:12:00,38.69,-28.166,13,2.2,Ilha de S. Jorge (W)
2022-03-24 07:39:00,38.693,-28.221,12,3.5,Ilha de S. Jorge (W)
2022-03-24 07:32:00,38.7,-28.209,13,2.0,Ilha de S. Jorge (W)
2022-03-24 06:23:00,38.694,-28.157,13,2.2,Ilha de S. Jorge (W)
2022-03-24 06:14:00,38.686,-28.124,12,2.0,Ilha de S. Jorge (W)
2022-03-24 05:10:00,38.695,-28.188,8,2.5,Ilha de S. Jorge (W)
2022-03-24 03:29:00,38.691,-28.131,13,2.0,Ilha de S. Jorge (W)
2022-03-24 03:14:00,38.686,-28.136,13,2.2,Ilha de S. Jorge (W)
2022-03-24 02:59:00,38.68,-28.121,11,2.0,Ilha de S. Jorge (W)
